FPL_points,FPL_points_2,FPL_points_4,FPL_pos,GW,Min_2,Min_4,Name_original,Opp_rating,Opp_score_2,Opp_score_4,Opponent,Player_CS_2,Player_CS_4,Saves_2,Saves_4,Season,Start_2,Start_4,Team,Team_rating,Team_result_2,Team_result_4,Was_home
0.0,0.0,0.0,GK,29,0.0,0.0,Alex McCarthy,1754.73693848,1.5,2.5,West Ham,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1662.04260254,1.0,0.5,0.0
0.0,0.0,0.0,GK,30,0.0,0.0,Alex McCarthy,2051.76245117,2.0,1.75,Manchester City,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1657.54675293,0.5,0.5,1.0
0.0,0.0,0.0,GK,31,0.0,0.0,Alex McCarthy,1757.18823242,2.5,2.0,Crystal Palace,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1654.94335938,0.0,0.5,1.0
0.0,0.0,0.0,GK,32,0.0,0.0,Alex McCarthy,1946.55639648,3.0,2.5,Arsenal,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1638.62390137,0.0,0.25,0.0
2.0,0.0,0.0,GK,33,0.0,0.0,Alex McCarthy,1660.82678223,2.5,2.5,Bournemouth,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1646.32543945,0.5,0.25,1.0
2.0,1.0,0.5,GK,34,45.0,22.5,Alex McCarthy,1879.1015625,2.0,2.5,Newcastle Utd,0.0,0.0,0.5,0.25,2022-23,0.5,0.25,Southampton,1637.34106445,0.5,0.25,0.0
0.0,2.0,1.0,GK,35,90.0,45.0,Alex McCarthy,1638.57336426,2.0,2.25,Nott'ham Forest,0.0,0.0,2.0,1.0,2022-23,1.0,0.5,Southampton,1634.20202637,0.0,0.25,0.0
1.0,1.0,1.0,GK,36,90.0,67.5,Alex McCarthy,1726.52331543,3.5,2.75,Fulham,0.0,0.0,1.5,1.0,2022-23,1.0,0.75,Southampton,1628.35424805,0.0,0.25,1.0
2.0,0.5,1.25,GK,37,90.0,90.0,Alex McCarthy,1825.50732422,3.0,2.5,Brighton,0.0,0.0,0.5,1.25,2022-23,1.0,1.0,Southampton,1623.57653809,0.0,0.0,0.0
1.0,1.5,1.25,GK,38,90.0,90.0,Alex McCarthy,1953.15356445,2.5,3.0,Liverpool,0.0,0.0,3.0,2.25,2022-23,1.0,1.0,Southampton,1619.77734375,0.0,0.0,1.0
8.0,8.0,8.0,GK,2,90.0,90.0,Alisson Ramses Becker,1699.8684082,0.0,0.0,Burnley,1.0,1.0,3.0,3.0,2021-22,1.0,1.0,Liverpool,1943.6595459,3.0,3.0,1.0
2.0,8.0,8.0,GK,3,90.0,90.0,Alisson Ramses Becker,1937.578125,0.0,0.0,Chelsea,1.0,1.0,3.0,3.0,2021-22,1.0,1.0,Liverpool,1948.56152344,3.0,3.0,1.0
9.0,5.0,5.0,GK,4,90.0,90.0,Alisson Ramses Becker,1773.81311035,0.5,0.5,Leeds United,0.5,0.5,2.5,2.5,2021-22,1.0,1.0,Liverpool,1947.64794922,2.0,2.0,0.0
